"Factors","ChiSq","df","TLI","BIC","CumVar","DeltaVar"
1,1737858.748,65,-0.099,1737153.066,0.25,NA
2,1576601.98,53,-0.223,1576026.578,0.459,20.9
3,1432348.123,42,-0.402,1431892.144,0.591,13.2
4,1357047.216,32,-0.744,1356699.803,0.62,2.8
5,1283628.282,23,-1.295,1283378.579,0.67,5
