"Factors","ChiSq","df","p","TLI","BIC"
1,1836826.5013408,77,0,-0.0804457378118548,1835986.87706759
2,1667840.37285846,64,0,-0.180339445268515,1667142.50333268
3,1543888.74647722,52,0,-0.3447836827997,1543321.72748752
4,1495822.14532035,41,0,-0.652509334488178,1495375.07265539
5,1421181.05037474,31,0,-1.0765542780861,1420843.01982319
