"Factors","ChiSq","df","p","RMSEA","TLI","BIC","PropVar","CumVar","DeltaVar"
1,1836826.5013408,77,0,0.662155811782762,-0.0804457378118548,1835986.87706759,0.239,0.239,NA
2,1667840.37285846,64,0,0.692085123367116,-0.180339445268515,1667142.50333268,0.434,0.434,19.4
3,1543888.74647722,52,0,0.738719575491348,-0.3447836827997,1543321.72748752,0.553,0.553,12
4,1495822.14532035,41,0,0.818884576736292,-0.652509334488178,1495375.07265539,0.587,0.587,3.4
5,1421181.05037474,31,0,0.917951451876992,-1.0765542780861,1420843.01982319,0.655,0.655,6.8
