"Factors","ChiSq","df","p","RMSEA"
1,1836826.80701809,77,0,0.662161952652837
2,1667845.78565062,64,0,0.692092607286295
3,1543902.53602327,52,0,0.73872966403528
4,1495899.37218164,41,0,0.818913242206672
5,1421420.3903695,31,0,0.918037183342817
